City,Industry,avg_salary
" Byron Bay","Education (Primary/Secondary)",78000
" Chicago","Accounting, Banking & Finance",130000
" Ventura ",Law,48800
Aberdeen,"Education (Primary/Secondary)",33000
"Aberdeen Proving Ground","Government And Public Administration",75176
Abidjan,Energy,67500
Adairsville,"Engineering Or Manufacturing",45760
Adelaide,"Engineering Or Manufacturing",103000
Adelaide,"Education (Higher Education)",101000
Adelaide,"Education (Primary/Secondary)",61577
Adelaide,"Agriculture Or Forestry",50768
"Adelaide ",Nonprofits,68816
"Adelaide, South AUnited Statestralia",Nonprofits,70000
Agawam,Nonprofits,95000
"Ainsworth ","Health Care",33800
Akron,"Education (Higher Education)",35000
Albany,"Pharma & Biotech",125760
Albany,"Transport Or Logistics",80700
Albany,"Government And Public Administration",78110
Albany,"Computing Or Tech",68000
Albany,"Learning And Development",62000
Albany,"Utilities & Telecommunications",60900
Albany,"Education (Higher Education)",57500
Albany,"Education (Primary/Secondary)",35000
Albuquerque,"Health Care",68000
Alexandria,"Marketing, Advertising & Pr",97500
Alexandria,"Bunited Statesiness Or Consulting",92000
Alexandria,"Government And Public Administration",87100
Alexandria,Nonprofits,68250
"Alexandria ","Accounting, Banking & Finance",45000
"Alexandria, VA","Marketing, Advertising & Pr",87000
"Aliso Viejo","Health Care",108000
"Aliso Viejo","Veterinary Medicine",34000
"Allendale, MI","Education (Higher Education)",50000
Allentown,"Engineering Or Manufacturing",86000
"Alpharetta, GA","Health Care",110000
Altadena,"Construction, Hvac ",62400
Alton,"Property Or Construction",21840
"Alton ","Social Work",39000
Amesbury,Library,65000
"Amherst, MA","Agriculture Or Forestry",56000
Amityville,"Engineering Or Manufacturing",37440
Amsterdam,"Accounting, Banking & Finance",95000
Amsterdam,"Renewable Fuels",72000
Amsterdam,Biotech,61500
"Amsterdam ",Fmcg,75000
Anacortes,"Accounting, Banking & Finance",55000
"Anaheim-Santa Ana-Irvine metro region",Insurance,54080
Anderson,"Education (Higher Education)",51000
"Ann Arbor","Recruitment Or Hr",89000
"Ann Arbor","Health Care",66400
"Ann Arbor","Education (Higher Education)",49000
"Ann Arbor","Engineering Or Manufacturing",47000
"Ann Arbor","Computing Or Tech",41600
"Ann Arbor ","Education (Primary/Secondary)",14000
Annapolis,"Education (Higher Education)",114666.67
Annapolis,Law,89000
Annapolis,"Government And Public Administration",56183
"Annapolis ","Government And Public Administration",60500
"Annapolis Junction","Government And Public Administration",113000
Annecy,Translation,22800
"Antrim ","Health Care",18200
Appleton,"Education (Higher Education)",56000
