Industry,Gender,avg_salary
Academia,Man,56400
Academia ,Woman,15000
Academic Medicine ,Man,55000
Academic Press Production,Woman,42000
Academic Publishing,Woman,55500
Academic Publishing ,Woman,30000
Academic Science,Woman,37000
"Accounting, Banking & Finance",Man,90997.12
"Accounting, Banking & Finance",Non-binary,48666.67
"Accounting, Banking & Finance",Unknown,86225.56
"Accounting, Banking & Finance",Woman,82415.1
Administration In Mlm,Woman,42000
Administrative ,Woman,35360
Administrative Work,Woman,51000
Agriculture Or Forestry,Man,97894
Agriculture Or Forestry,Non-binary,500000
Agriculture Or Forestry,Unknown,83000
Agriculture Or Forestry,Woman,81412
Analytical Lab,Woman,30368
Animation,Woman,79000
Architecture,Woman,55000
Archives,Woman,65000
Art & Design,Man,104083.33
Art & Design,Non-binary,52000
Art & Design,Woman,75622.7
Art Appraisal,Woman,39000
Association Management,Woman,68000
Auction Hounited Statese,Woman,55000
Auto Repair,Woman,56000
Automotive,Man,80000
Aviation,Man,28700
Beauty /Cpg ,Woman,131000
Beauty Manufacturing & Education ,Woman,35360
Biologist,Woman,37000
Biology/Research,Non-binary,40000
Biomedical Research,Woman,65166.67
Biopharma,Woman,175000
Biotech,Woman,99333.33
Biotech/Pharma,Woman,155000
Biotechnology,Woman,78666.67
Bunited Statesiness Or Consulting,Man,104163.08
Bunited Statesiness Or Consulting,Non-binary,70060
Bunited Statesiness Or Consulting,Woman,105091.44
Cleaning,Woman,41600
Clinical Research,Woman,126000
Clinical Research ,Woman,58500
Commercial Real Estate,Woman,58500
Communications,Woman,39520
Compliance,Woman,92771
Computing Or Tech,Man,163702.3
Computing Or Tech,Non-binary,85635.5
Computing Or Tech,Unknown,101222.22
Computing Or Tech,Woman,143894.45
Conservation,Man,36000
Construction,Woman,48000
"Construction, Hvac ",Woman,62400
Consulting,Man,250000
Consulting,Non-binary,92000
Consumer Goods,Woman,103000
Consumer Packaged Goods,Woman,134971
Consumer Research,Woman,97000
Contract Research Organisation,Woman,60121
Costruction Admin,Woman,38000
Cultural Heritage,Woman,60500
Data Breach,Man,56410
Data Entry,Woman,31000
Data/Institutional Research In Higher Education,Woman,57211
Defense,Woman,82000
Defense Contractor,Woman,69000
Digital,Woman,42860
Disability Services ,Woman,42000
"Diversity, Equity & Inclunited Statesion ",Woman,140000
E-Commerce,Woman,56500
Early Childhood Education,Woman,117500
Ed Tech,Woman,75000
Education (Higher Education),Man,98337
Education (Higher Education),Non-binary,53300.08
Education (Higher Education),Unknown,69700
Education (Higher Education),Woman,114835.77
Education (Primary/Secondary),Man,46513.33
Education (Primary/Secondary),Non-binary,57373.33
Education (Primary/Secondary),Woman,68517.2
Educational Technology - Hybrid Between Book Publishing And Technology Really,Woman,67000
Energy,Man,132999
Energy,Woman,86700
Energy/Oil,Woman,62000
Engineering Or Manufacturing,Man,84229.24
Engineering Or Manufacturing,Non-binary,99000
Engineering Or Manufacturing,Unknown,73333.33
Engineering Or Manufacturing,Woman,86749.74
Entertainment,Man,253780
Entertainment,Non-binary,3600000
Entertainment,Unknown,80000
Entertainment,Woman,89977.71
Enviromental ,Man,72000
Environment,Woman,730000
"Environment, Health, And Safety",Woman,70000
Environmental,Man,66000
Environmental Compliance/Engineering,Woman,87460
Environmental Health + Pest Control,Woman,57900
Environmental Science,Woman,85000
Executive Search,Woman,90000
Federal Contracting/Bunited Statesiness Development,Man,70000
Finance,Woman,130000
Fire Protection,Woman,70000
Fitness,Woman,62000
Fmcg,Woman,75000
Food,Woman,33000
Food & Beverages,Woman,55000
Food Production,Woman,65000
Funeral Service ,Woman,33280
Funeral Services,Woman,30284
Gaming (Gambling),Man,72000
Global Mobility,Woman,57500
Government ,Woman,70000
Government And Public Adminisraeltration,Woman,37400
Government And Public Administration,Man,83497.2
Government And Public Administration,Non-binary,54101.82
Government And Public Administration,Unknown,96000
Government And Public Administration,Woman,84404.99
Government Contracting,Woman,110000
Government Contractor ,Woman,70000
Graduate Assistant And Also Events ,Woman,24000
Health Care,Man,62884.86
Health Care,Non-binary,61500
Health Care,Unknown,44272.67
Health Care,Woman,94077.99
Healthcare Technology ,Woman,83900
Hospitality & Events,Man,66384.5
Hospitality & Events,Woman,65072.9
Human Resources,Woman,57383
Human Services,Woman,33280
Immigration,Woman,43000
Insurance,Man,114324.71
Insurance,Woman,71069.22
Interior Landscaping ,Non-binary,33000
International Development,Woman,83350
International Development (Multilateral Donor),Woman,111360
International Organization (Un),Woman,83000
Interpretation,Woman,905000
It Security,Woman,43680
Journalism,Woman,30000
Labour/Professional Organization,Woman,62000
Law,Man,114932.86
Law,Non-binary,65988
Law,Unknown,158000
Law,Woman,123680.77
Law Enforcement & Security,Man,52705
Law Enforcement & Security,Woman,53986.67
Learning And Development,Man,62000
"Leisure, Sport & Tourism",Woman,107669.23
Librarian,Non-binary,45700
Librarian,Woman,40700
Libraries,Unknown,51300
Libraries,Woman,56202.67
Libraries/Munited Stateseums/Archives,Woman,40830
Library,Non-binary,80000
Library,Woman,55323.25
Library/Archives,Woman,46700
Lobbying,Man,80000
Manufacturing,Woman,81000
Manufacturing ,Man,80750
Manufacturing ,Woman,68000
Manufacturing/Wholesale,Woman,58212
"Marketing, Advertising & Pr",Man,103842.11
"Marketing, Advertising & Pr",Non-binary,68878.5
"Marketing, Advertising & Pr",Unknown,76200
"Marketing, Advertising & Pr",Woman,87883.44
Media & Digital,Man,89000
Media & Digital,Non-binary,65000
Media & Digital,Unknown,110000
Media & Digital,Woman,102737.67
Medical Research,Non-binary,43000
Medical Supply Wholesale & Warehounited Statesing,Woman,33000
Mental Health,Woman,43000
Mortgage,Woman,42000
Munited Stateseums,Woman,49000
"My Company Sells & Services Variounited States Types Of Printers, Mostly Kyocera.",Woman,35000
Non-Profit Health Care (I Couldn’T Select Both),Woman,46700
Nonprofits,Man,72395.81
Nonprofits,Non-binary,50319.93
Nonprofits,Unknown,80256
Nonprofits,Woman,68208.12
Oil & Gas,Woman,78100
Online Education Startup (Non-Technical Role),Woman,39800
Organized Labor,Woman,103996
Pharma,Man,122000
Pharma,Woman,106000
Pharma & Biotech,Woman,125760
Pharma/Biotech,Woman,175000
Pharmaceutical ,Woman,92000
Pharmaceutical Development,Woman,230000
Pharmaceuticals,Woman,46290
Pharmaceuticals / Biotech,Woman,160000
Philanthropy,Woman,88333.33
Philanthropy ,Woman,98166.67
Production And Manufacturing,Woman,65000
Program Management ,Woman,83000
Property Or Construction,Man,72919.38
Property Or Construction,Unknown,114800
Property Or Construction,Woman,73066.94
Psychologist,Man,60000
Public Health,Woman,53000
Public Libraries,Woman,47700
Public Library,Woman,44862.33
Public Safety ,Woman,82550
Publishing,Woman,59000
Real Estate,Woman,50000
Real Estate Development,Woman,50000
Real Estate Investment,Woman,73000
Real Estate Investment Support,Woman,63000
Real Estate Title Company,Man,47445
Real Estate/Development,Woman,65000
Recruitment Or Hr,Man,74296
Recruitment Or Hr,Non-binary,70000
Recruitment Or Hr,Unknown,110000
Recruitment Or Hr,Woman,198013.84
Renewable Energy,Non-binary,71077
Renewable Fuels,Woman,72000
Research,Man,93331.67
Research ,Woman,54000
Research And Development,Woman,129000
Restaurant ,Non-binary,55000
Restaurant/Service,Woman,107000
Retail,Man,84993.85
Retail,Non-binary,34350
Retail,Woman,75743.3
Saas Company/Software,Woman,160000
Sales,Man,175291.67
Sales,Non-binary,37440
Sales,Woman,74756.67
Sales ,Woman,76000
Science ,Woman,20152
Scientific Research,Woman,76000
Social Work,Man,75500
Social Work,Non-binary,69800
Social Work,Woman,58923.71
Software,Woman,92700
