Industry,Gender,education_level,avg_salary
Academia,Man,PhD,56400
"Academia ",Woman,PhD,15000
"Academic Medicine ",Man,"College degree",55000
"Academic Press Production",Woman,"Master's degree",42000
"Academic Publishing",Woman,"College degree",55500
"Academic Publishing ",Woman,"Master's degree",30000
"Academic Science",Woman,"Master's degree",37000
"Accounting, Banking & Finance",Man,"College degree",84375.03
"Accounting, Banking & Finance",Man,"High School",95000
"Accounting, Banking & Finance",Man,"Master's degree",120333.33
"Accounting, Banking & Finance",Man,"Some college",49000
"Accounting, Banking & Finance",Non-binary,"College degree",56000
"Accounting, Banking & Finance",Non-binary,"Master's degree",48000
"Accounting, Banking & Finance",Non-binary,"Some college",42000
"Accounting, Banking & Finance",Unknown,"College degree",92666.67
"Accounting, Banking & Finance",Unknown,"Master's degree",110000
"Accounting, Banking & Finance",Unknown,Unknown,30
"Accounting, Banking & Finance",Woman,"College degree",76929.42
"Accounting, Banking & Finance",Woman,"High School",41850
"Accounting, Banking & Finance",Woman,"Master's degree",90704.26
"Accounting, Banking & Finance",Woman,PhD,114000
"Accounting, Banking & Finance",Woman,"Professional degree (MD, JD, etc.)",124545.45
"Accounting, Banking & Finance",Woman,"Some college",42405
"Accounting, Banking & Finance",Woman,Unknown,75000
"Administration In Mlm",Woman,"Some college",42000
"Administrative ",Woman,"Some college",35360
"Administrative Work",Woman,"College degree",51000
"Agriculture Or Forestry",Man,"College degree",97894
"Agriculture Or Forestry",Non-binary,PhD,500000
"Agriculture Or Forestry",Unknown,"College degree",83000
"Agriculture Or Forestry",Woman,"College degree",80333.33
"Agriculture Or Forestry",Woman,"Master's degree",77096
"Agriculture Or Forestry",Woman,PhD,138800
"Agriculture Or Forestry",Woman,"Some college",47760
"Analytical Lab",Woman,"College degree",30368
Animation,Woman,"College degree",79000
Architecture,Woman,"Master's degree",55000
Archives,Woman,"Master's degree",65000
"Art & Design",Man,"College degree",108625
"Art & Design",Man,"Some college",95000
"Art & Design",Non-binary,"College degree",52000
"Art & Design",Woman,"College degree",63752.24
"Art & Design",Woman,"Master's degree",83250
"Art & Design",Woman,PhD,166666.67
"Art & Design",Woman,"Some college",50160
"Art Appraisal",Woman,"College degree",39000
"Association Management",Woman,"Master's degree",68000
"Auction Hounited Statese",Woman,"College degree",55000
"Auto Repair",Woman,"College degree",56000
Automotive,Man,"College degree",80000
Aviation,Man,"High School",28700
"Beauty /Cpg ",Woman,"Master's degree",131000
"Beauty Manufacturing & Education ",Woman,"College degree",35360
Biologist,Woman,PhD,37000
Biology/Research,Non-binary,"Master's degree",40000
"Biomedical Research",Woman,"Master's degree",65166.67
Biopharma,Woman,"Master's degree",175000
Biotech,Woman,"College degree",92800
Biotech,Woman,"Master's degree",95000
Biotech,Woman,PhD,120000
Biotech/Pharma,Woman,PhD,155000
Biotechnology,Woman,"College degree",72000
Biotechnology,Woman,PhD,82000
"Bunited Statesiness Or Consulting",Man,"College degree",98500
"Bunited Statesiness Or Consulting",Man,"Master's degree",100705.88
"Bunited Statesiness Or Consulting",Man,PhD,180000
"Bunited Statesiness Or Consulting",Man,"Some college",45240
"Bunited Statesiness Or Consulting",Non-binary,"College degree",65090
"Bunited Statesiness Or Consulting",Non-binary,"Master's degree",80000
"Bunited Statesiness Or Consulting",Woman,"College degree",91653.02
"Bunited Statesiness Or Consulting",Woman,"High School",125000
"Bunited Statesiness Or Consulting",Woman,"Master's degree",109525.21
"Bunited Statesiness Or Consulting",Woman,PhD,121857.14
"Bunited Statesiness Or Consulting",Woman,"Professional degree (MD, JD, etc.)",142500
"Bunited Statesiness Or Consulting",Woman,"Some college",85320
"Bunited Statesiness Or Consulting",Woman,Unknown,120000
Cleaning,Woman,"High School",41600
"Clinical Research",Woman,"Master's degree",126000
"Clinical Research ",Woman,"College degree",58500
"Commercial Real Estate",Woman,"College degree",58500
Communications,Woman,"College degree",39520
Compliance,Woman,"College degree",54313
Compliance,Woman,"Professional degree (MD, JD, etc.)",112000
"Computing Or Tech",Man,"College degree",131906.42
"Computing Or Tech",Man,"High School",116466.67
"Computing Or Tech",Man,"Master's degree",204388.75
"Computing Or Tech",Man,PhD,110070.59
"Computing Or Tech",Man,"Professional degree (MD, JD, etc.)",120000
"Computing Or Tech",Man,"Some college",110497.76
"Computing Or Tech",Man,Unknown,1337500
"Computing Or Tech",Non-binary,"College degree",82137.5
"Computing Or Tech",Non-binary,"Master's degree",84498.75
"Computing Or Tech",Non-binary,"Some college",103650
"Computing Or Tech",Unknown,"College degree",92666.67
"Computing Or Tech",Unknown,"Master's degree",118666.67
"Computing Or Tech",Unknown,"Some college",67000
"Computing Or Tech",Unknown,Unknown,105000
"Computing Or Tech",Woman,"College degree",111311.02
"Computing Or Tech",Woman,"High School",23051
"Computing Or Tech",Woman,"Master's degree",220831.95
"Computing Or Tech",Woman,PhD,157350
"Computing Or Tech",Woman,"Professional degree (MD, JD, etc.)",162166.67
"Computing Or Tech",Woman,"Some college",85206.8
"Computing Or Tech",Woman,Unknown,59000
Conservation,Man,"Master's degree",36000
Construction,Woman,"Some college",48000
"Construction, Hvac ",Woman,"College degree",62400
Consulting,Man,"Some college",250000
Consulting,Non-binary,"Master's degree",92000
"Consumer Goods",Woman,"College degree",103000
"Consumer Packaged Goods",Woman,PhD,134971
"Consumer Research",Woman,PhD,97000
"Contract Research Organisation",Woman,"College degree",60121
"Costruction Admin",Woman,"Some college",38000
"Cultural Heritage",Woman,"Master's degree",60500
"Data Breach",Man,"Some college",56410
"Data Entry",Woman,"Some college",31000
"Data/Institutional Research In Higher Education",Woman,"College degree",57211
Defense,Woman,"Master's degree",82000
"Defense Contractor",Woman,"Master's degree",69000
Digital,Woman,"College degree",42860
"Disability Services ",Woman,"High School",42000
"Diversity, Equity & Inclunited Statesion ",Woman,"College degree",140000
E-Commerce,Woman,"College degree",68000
E-Commerce,Woman,"Master's degree",45000
"Early Childhood Education",Woman,"Master's degree",117500
"Ed Tech",Woman,"College degree",75000
"Education (Higher Education)",Man,"College degree",50382.8
"Education (Higher Education)",Man,"High School",25000
"Education (Higher Education)",Man,"Master's degree",52388.89
"Education (Higher Education)",Man,PhD,202142.86
"Education (Higher Education)",Non-binary,"College degree",71800
"Education (Higher Education)",Non-binary,"Master's degree",38650.17
"Education (Higher Education)",Non-binary,PhD,70000
"Education (Higher Education)",Non-binary,"Some college",32000
"Education (Higher Education)",Unknown,"Master's degree",73875
"Education (Higher Education)",Unknown,PhD,53000
"Education (Higher Education)",Woman,"College degree",57977.19
"Education (Higher Education)",Woman,"High School",48000
"Education (Higher Education)",Woman,"Master's degree",159927.39
"Education (Higher Education)",Woman,PhD,80892.95
"Education (Higher Education)",Woman,"Professional degree (MD, JD, etc.)",86625
"Education (Higher Education)",Woman,"Some college",42381
"Education (Higher Education)",Woman,Unknown,74000
"Education (Primary/Secondary)",Man,"College degree",58000
"Education (Primary/Secondary)",Man,"Master's degree",44345
"Education (Primary/Secondary)",Man,"Some college",43700
"Education (Primary/Secondary)",Non-binary,"College degree",57060
"Education (Primary/Secondary)",Non-binary,"Master's degree",58000
"Education (Primary/Secondary)",Woman,"College degree",56368.16
"Education (Primary/Secondary)",Woman,"High School",22000
"Education (Primary/Secondary)",Woman,"Master's degree",68165.02
"Education (Primary/Secondary)",Woman,PhD,72200
"Education (Primary/Secondary)",Woman,"Professional degree (MD, JD, etc.)",250000
"Education (Primary/Secondary)",Woman,"Some college",65788.5
"Educational Technology - Hybrid Between Book Publishing And Technology Really",Woman,"College degree",67000
Energy,Man,"Master's degree",132999
Energy,Woman,"College degree",86700
Energy/Oil,Woman,"Some college",62000
"Engineering Or Manufacturing",Man,"College degree",82140.1
"Engineering Or Manufacturing",Man,"High School",45760
"Engineering Or Manufacturing",Man,"Master's degree",90131.82
"Engineering Or Manufacturing",Man,PhD,73000
"Engineering Or Manufacturing",Man,"Some college",80250
"Engineering Or Manufacturing",Non-binary,"College degree",99000
"Engineering Or Manufacturing",Unknown,"College degree",70000
"Engineering Or Manufacturing",Unknown,Unknown,75000
"Engineering Or Manufacturing",Woman,"College degree",83412.36
"Engineering Or Manufacturing",Woman,"Master's degree",100475.69
"Engineering Or Manufacturing",Woman,PhD,78290
"Engineering Or Manufacturing",Woman,"Professional degree (MD, JD, etc.)",102000
"Engineering Or Manufacturing",Woman,"Some college",53055.56
Entertainment,Man,"College degree",33450
Entertainment,Man,"Master's degree",400666.67
Entertainment,Non-binary,"College degree",3600000
Entertainment,Unknown,"College degree",80000
Entertainment,Woman,"College degree",94212.63
Entertainment,Woman,"High School",62500
Entertainment,Woman,"Master's degree",85009
Entertainment,Woman,"Professional degree (MD, JD, etc.)",96666.67
Entertainment,Woman,"Some college",36800
"Enviromental ",Man,"College degree",72000
Environment,Woman,"College degree",730000
"Environment, Health, And Safety",Woman,"College degree",70000
Environmental,Man,"College degree",66000
"Environmental Compliance/Engineering",Woman,"Master's degree",87460
"Environmental Health + Pest Control",Woman,"College degree",57900
"Environmental Science",Woman,"Master's degree",85000
"Executive Search",Woman,"College degree",90000
"Federal Contracting/Bunited Statesiness Development",Man,"College degree",70000
Finance,Woman,"Master's degree",130000
"Fire Protection",Woman,"College degree",70000
Fitness,Woman,"College degree",62000
Fmcg,Woman,"Master's degree",75000
Food,Woman,"College degree",33000
"Food & Beverages",Woman,"Master's degree",55000
"Food Production",Woman,"College degree",65000
