Country,"Job Title","Annual Salary"
America,Rn,78000
America,Rn,78000
Australia,"Environmental Consultant",730000
Australia,"Environmental Consultant",730000
Belgium,"Hr Data Analyst",55680
Brazil,"Front End Engineer ",102
Canada,Realtor,600000
Canada,Realtor,600000
Chile,"Cunited Statestomer Project Officer",38000
China,Interpreter,905000
China,Interpreter,905000
Colombia,"Operations Manager",102000000
Colombia,"Operations Manager",102000000
Congo,"Program Manager",84000
Congo,"Program Manager",84000
"Cote d'Ivoire","Hr And Operations Manager",67500
"Czech Republic","Bunited Statessiness Assistant",233160
"Czech Republic","Bunited Statessiness Assistant",233160
denmark,Consultant,550000
Denmark,"Assistant Professor",550000
Denmark,"Assistant Professor",550000
denmark,Consultant,550000
England,"Bunited Statesiness Analyst",70000
Estonia,"Email Marketing And Sms Specialist",27960
Finland,"Senior Security Consultant",64000
France,"Data Engineer",68000
Germany,"Engineering Manager",99000
Germany,"Engineering Manager",99000
"Great Britain","Bunited Statesiness Management Support",26350
"Hong Kong","Senior Manager, Communications ",102028
"Hong Kong","Senior Manager, Communications ",102028
India,Analyst,6600
Ireland,"Senior Program Manager ",106000
Ireland,"Senior Program Manager ",106000
Israel,"Loan Processor",42000
Italy,Consultant,83000
Italy,Consultant,83000
Japan,"Project Manager",8100000
Japan,"Project Manager",8100000
Lithuania,Assistant,14700
Netherlands,"Software Architect ",150000
Netherlands,"Software Architect ",150000
"New Zealand","Site Reliability Engineer",145000
"New Zealand","Site Reliability Engineer",145000
"Northern Ireland","Care Assistant ",18200
Poland,"Marketing Manager",72000
Russia,"Assistant ",15000
Scotland,"Principal Software Engineer",60000
Singapore,Swe,135000
Singapore,Swe,135000
Somalia,"Program Manager",58000
"South Africa","Seo Specialist ",543000
"South Africa","Seo Specialist ",543000
Spain,"Platform Engineering Manager",57000
Sweden,"Marketing Automation Manager ",576000
Sweden,"Marketing Automation Manager ",576000
Switzerland,"Machine Learning Model Developer",135000
Switzerland,"Machine Learning Model Developer",135000
Taiwan,"English Editor",732000
Taiwan,"English Editor",732000
"The Netherlands","It Bunited Statesiness Consultant",95000
"The Netherlands","It Bunited Statesiness Consultant",95000
"United Arab Emirates","Proposals & Marketing Manager",98000
"United Arab Emirates","Proposals & Marketing Manager",98000
"United Kingdom",Seo,200000
"United Kingdom",Seo,200000
"United States","Japanese To English Translator",3600000
"United States","Japanese To English Translator",3600000
Unknown,"Senior Banking Associate ",37000
