Industry,experience_years,employee_count
Academia,"8 - 10 years",1
"Academia ","8 - 10 years",1
"Academic Medicine ","8 - 10 years",1
"Academic Press Production","8 - 10 years",1
"Academic Publishing","8 - 10 years",1
"Academic Publishing ","8 - 10 years",1
"Academic Science","8 - 10 years",1
"Accounting, Banking & Finance","8 - 10 years",276
"Administration In Mlm","8 - 10 years",1
"Administrative ","8 - 10 years",1
"Administrative Work","8 - 10 years",1
"Agriculture Or Forestry","8 - 10 years",33
"Analytical Lab","8 - 10 years",1
Animation,"8 - 10 years",2
Architecture,"8 - 10 years",1
Archives,"8 - 10 years",1
"Art & Design","8 - 10 years",57
"Art Appraisal","8 - 10 years",1
"Association Management","8 - 10 years",1
"Auction Hounited Statese","8 - 10 years",1
"Auto Repair","8 - 10 years",1
Automotive,"8 - 10 years",2
Aviation,"8 - 10 years",1
"Beauty /Cpg ","8 - 10 years",2
"Beauty Manufacturing & Education ","8 - 10 years",1
Biologist,"8 - 10 years",1
Biology/Research,"8 - 10 years",1
"Biomedical Research","8 - 10 years",3
Biopharma,"8 - 10 years",2
Biotech,"8 - 10 years",9
Biotech/Pharma,"8 - 10 years",2
Biotechnology,"8 - 10 years",3
"Bunited Statesiness Or Consulting","8 - 10 years",148
Cleaning,"8 - 10 years",1
"Clinical Research","8 - 10 years",2
"Clinical Research ","8 - 10 years",1
"Commercial Real Estate","8 - 10 years",1
Communications,"8 - 10 years",1
Compliance,"8 - 10 years",3
"Computing Or Tech","8 - 10 years",797
Conservation,"8 - 10 years",1
Construction,"8 - 10 years",1
"Construction, Hvac ","8 - 10 years",1
Consulting,"8 - 10 years",4
"Consumer Goods","8 - 10 years",2
"Consumer Packaged Goods","8 - 10 years",2
"Consumer Research","8 - 10 years",2
"Contract Research Organisation","8 - 10 years",1
"Costruction Admin","8 - 10 years",1
"Cultural Heritage","8 - 10 years",1
"Data Breach","8 - 10 years",1
"Data Entry","8 - 10 years",1
"Data/Institutional Research In Higher Education","8 - 10 years",1
Defense,"8 - 10 years",2
"Defense Contractor","8 - 10 years",1
Digital,"8 - 10 years",1
"Disability Services ","8 - 10 years",1
"Diversity, Equity & Inclunited Statesion ","8 - 10 years",2
E-Commerce,"8 - 10 years",2
"Early Childhood Education","8 - 10 years",2
"Ed Tech","8 - 10 years",1
"Education (Higher Education)","8 - 10 years",292
"Education (Primary/Secondary)","8 - 10 years",94
"Educational Technology - Hybrid Between Book Publishing And Technology Really","8 - 10 years",1
Energy,"8 - 10 years",7
Energy/Oil,"8 - 10 years",1
"Engineering Or Manufacturing","8 - 10 years",176
Entertainment,"8 - 10 years",37
"Enviromental ","8 - 10 years",1
Environment,"8 - 10 years",2
"Environment, Health, And Safety","8 - 10 years",1
Environmental,"8 - 10 years",1
"Environmental Compliance/Engineering","8 - 10 years",2
"Environmental Health + Pest Control","8 - 10 years",1
"Environmental Science","8 - 10 years",2
"Executive Search","8 - 10 years",2
"Federal Contracting/Bunited Statesiness Development","8 - 10 years",1
Finance,"8 - 10 years",2
"Fire Protection","8 - 10 years",1
Fitness,"8 - 10 years",1
Fmcg,"8 - 10 years",2
Food,"8 - 10 years",1
