"Job Title",experience_years,total_compensation
" Analyst","8 - 10 years",67800
" Cap Team","8 - 10 years",36520
" Controller ","8 - 10 years",224000
"(State Agency) Legislative Director","8 - 10 years",165200
"24 Frame Video Playback","8 - 10 years",412000
"3D Artist","8 - 10 years",21000
"5Th Year Associate At Law Firm ","8 - 10 years",452000
"6-8 English As A Second Language Teacher","8 - 10 years",49008
"Academic Advisor","8 - 10 years",323000
"Academic Advisor ","8 - 10 years",55000
"Academic Librarian","8 - 10 years",223000
"Academic Oncologist","8 - 10 years",450000
"Academic Records Coordinator","8 - 10 years",54800
"Accessibility Consultant","8 - 10 years",240000
"Account Executive","8 - 10 years",594500
"Account Manager","8 - 10 years",1059500
"Account Payable","8 - 10 years",35000
"Account Supervisor","8 - 10 years",152000
"Account Supervisor- Pr","8 - 10 years",75000
Accountant,"8 - 10 years",107500
"Accountant ","8 - 10 years",238000
"Accounting Analyst ","8 - 10 years",165000
"Accounting And Office Administrator ","8 - 10 years",69333
"Accounting Assistant ","8 - 10 years",45000
"Accounting Associate (Temp)","8 - 10 years",37000
"Accounting Clerk","8 - 10 years",95940
"Accounting Clerk I","8 - 10 years",39844
"Accounting Clerk/Sales Coordinator","8 - 10 years",29120
"Accounting Manager","8 - 10 years",672050
"Accounting Support","8 - 10 years",44520
"Accounts Payable","8 - 10 years",52000
"Accounts Payable Clerk","8 - 10 years",48000
"Accounts Receivable Admin","8 - 10 years",35500
"Accounts Receivable Administrator ","8 - 10 years",35000
"Accounts Receivable Manager","8 - 10 years",67000
"Acquisition Editor","8 - 10 years",63000
"Acquisitions Editor","8 - 10 years",104500
"Activities Coordinator ","8 - 10 years",34800
"Adjunct Instructor","8 - 10 years",34000
"Adjunct Professor","8 - 10 years",36000
Admin,"8 - 10 years",34800
"Admin / Data Entry","8 - 10 years",57000
"Admin Assistant","8 - 10 years",45740
"Admin Assistant ","8 - 10 years",33480
"Admin Director ","8 - 10 years",42500
"Admin Support","8 - 10 years",65200
"Administration Manager","8 - 10 years",89500
"Administrative Assistant","8 - 10 years",522700
"Administrative Assistant ","8 - 10 years",163400
"Administrative Assistant / Marketing Coordinator","8 - 10 years",53000
"Administrative Assistant & Systems Analyst","8 - 10 years",35700
"Administrative Assistant/Hr","8 - 10 years",43000
"Administrative Clerk Ii","8 - 10 years",49377
"Administrative Coordinator","8 - 10 years",55000
"Administrative Information Management Specialist Supervisor / Atip Coordinator","8 - 10 years",52000
"Administrative Manager","8 - 10 years",55000
"Administrative Officer","8 - 10 years",153527
"Administrative Specialist","8 - 10 years",113500
