"Job Title",total_compensation
"Operations Manager",205131995
"Project Manager",22930422
Lecturer,12105000
Hr,11200000
"Software Engineer",9493132
"Japanese To English Translator",7200000
"Product Manager",6883500
Lead,5200000
"Senior Software Engineer",5180200
"Program Manager",4606434
"Principal Software Engineer",4170000
Associate,3866000
Manager,3176175
"Data Analyst",2846126
Director,2574000
Consultant,2375000
"Senior Consultant",2294000
"Senior Bunited Statesiness Systems Analyst ",2272000
Attorney,2116000
Interpreter,1830000
"Hr Manager",1824500
"Senior Manager",1788000
"Assistant Professor",1681025
"English Editor",1634000
"Data Scientist",1630000
"Senior Product Manager",1552195
"Data Engineer",1551490
"Vice President",1550000
"Software Developer",1548000
"Associate Attorney",1530900
"Environmental Consultant",1460000
"Associate Director",1439838
Realtor,1400000
"Bunited Statesiness Analyst",1348356
"Senior Associate",1326000
"Marketing Manager",1324100
"Cunited Statestomer Success Manager",1296600
"Senior Project Manager",1290000
"Attorney ",1286000
"Senior Program Manager",1272000
"Senior Analyst",1255843
"Director Of Operations",1187800
"Senior Engineering Manager",1170000
"Marketing Automation Manager ",1152000
"Seo Specialist ",1126000
"Executive Assistant",1107583
"Product Manager ",1070284
"Analytics Manager",1067600
"Instructional Designer",1060312
"Account Manager",1059500
"Associate Attorney ",1055000
"Product Owner",1012860
"Turnip Farmer",1000000
"Software Engineer ",989376
Teacher,986251
"Chief Of Staff",970000
Physician,900000
"Senior Associate (Lawyer)",880000
"Director Of Cunited Statestomer Success",877000
"Production Manager/Project Manager",876000
"Design Engineer ",876000
Librarian,850450
"Senior Product Marketing Manager",850000
"Mechanical Engineer",845500
"Senior Researcher",843800
"Office Manager",831192
"Finance Manager",790000
"Principal Analyst",788900
"Senior Technical Writer",786696
"Product Management Leader",786000
"Technical Program Manager",780000
"Associate Chairperson",778000
"Engineering Manager",772000
"Software Engineer Ii",762200
"Ml/Ai Scientist",760000
"Orthopedic Surgeon",756000
"Deliworker ",730000
"Marketing Manager ",729000
"Project Manager ",727419
"Sr. Operations Manager",720000
"Sales Engineer",714820
"Research Analyst",694100
"Phd Candidate",693600
Paralegal,687440
Rn,682250
"Lead Analyst ",680000
"Accounting Manager",672050
"Engagement Manager",672000
"Team Lead",660060
"Implementation Manager",657000
Analyst,655580
"Program Analyst",646000
Archivist,635900
"Senior Copywriter",624000
"Associate Lawyer",615800
"Project Coordinator",607000
"Corporate Counsel",606000
Owner,600000
"Senior Data Scientist",598000
"Program Officer",597100
"Senior Product Designer",596000
"Group Product Manager",596000
"Account Executive",594500
"Director, Medical Affairs",590000
"Program Manager ",576000
"Esl Teacher",575000
"Technical Project Manager",573000
"Vp Of Strategy",570000
"Production Manager",570000
"Senior Account Manager",565020
"Devops Engineer",565000
"Executive Assistant ",564500
"Graphic Designer",562500
"Regulatory Compliance Manager",560000
"Consultant ",558000
"Digital Product Manager",555000
"Senior Compliance Manager",547000
"Staff Attorney",546093
"Ux Writer",540000
"Hr Bunited Statesiness Partner",538000
"Communications Manager",537000
"It Director",528000
"Privacy Engineer",526000
"Product Designer",523000
"Administrative Assistant",522700
"Investment Banker",520000
"Country Head Of Market Access",510000
"Recruiting Manager",510000
"Digital Marketing Manager",507000
"Membership Director",506000
"Solutions Architect",500000
"Systems Librarian",499600
"Senior Manager, Digital Marketing",498000
Editor,496000
"Senior Manager ",493000
"Engagement Strategist",490000
"Hr Generalist",486600
"Senior Ux Designer",486000
"Bunited Statessiness Assistant",485134
Recruiter,481100
Founder,480000
Partnerships,480000
"Influencer Marketing Manager",480000
"Senior Counsel",478600
"Program Specialist",477960
"Support Engineer",476000
"Technical Writer",471772
"Associate General Counsel",470000
"Director Of Bunited Statesiness Development",470000
Ea,468000
"It Project Manager",464500
"People Operations Manager",462416
"Senior Financial Analyst",460806
"Scientist Ii",460000
"Senior Product Manager - Technical",460000
Vp,458000
"Senior Back-End Software Engineer",457600
"Product Director",456000
"5Th Year Associate At Law Firm ",452000
"Academic Oncologist",450000
"Aws Solutions Architect",450000
"Engineer ",450000
Hrbp,450000
"Social Worker",448200
"Senior Software Developer",448000
Researcher,447000
"Data Science",445000
"Director Of Development",444000
Ceo,442000
"Data Science Manager",436800
"Senior Manager Of Software Engineering",430000
"Director Of Communications",428000
"General Manager",426700
"Human Resources Bunited Statesiness Partner",424000
"Managing Director",420000
"Manager, Program Management",420000
"Hr Bunited Statesiness Partner ",420000
"Laundry Attendant",416480
"Director Of Content",416400
"24 Frame Video Playback",412000
"Systems Engineer",412000
"Process Specialist",410000
"Senior Manager, Crm Marketing",406000
"Policy Advisor",406000
Seo,400000
"Senior Software Engineer ",400000
"Director Of Engineering",400000
"Content Designer",398000
"Director Of Product Management",396000
"Silicon Validation Engineer",396000
Copywriter,395000
"Solution Consultant",393000
"Budget Analyst",392000
"Senior Data Analyst",390400
"Publications Associate Director ",390000
"Senior Product Manager ",390000
"Associate Product Manager",387000
"Vice President Of Sales",384000
"Associate Brand Director",380000
"Sr Manager Of Insights",380000
"Director ",380000
"Vp Hr",380000
"Division Director",380000
"Case Manager",378594
"Data Manager",378000
"Hr Specialist",377036
"Sr. Product Manager",376000
"Human Resources Manager",374500
"Associate Professor",374000
"Process Engineer",374000
"Bunited Statesiness Intelligence Engineer",370800
Lawyer,370000
"Associate ",370000
"Senior Consultant, Strategy And Analytics ",370000
"Program Director",370000
"Bunited Statesiness Systems Analyst",368000
"Sales Operations Manager",367380
Swe,367000
"Product Design ",366000
"Systems Analyst",365000
"Product Development Engineer",365000
"Director Of Data Engineering",364000
"Associate Counsel",363830
"Analyst, Principal ",362000
"Compliance Manager",362000
"Managing Underwriter ",360000
"Ux Designer",360000
"Team Leader",357800
"Program Coordinator",355965
"Sr. Project Manager ",354000
"Director Of Alumni Relations",353000
"Senior Supply Chain Planner",352000
"Data Analyst ",351230
"Product Design Manager",350000
"Managing Director Of Development",350000
"Senior Machine Learning Engineer",350000
"Senior Marketing Automation Managed",350000
Writer/Editor,349000
"Clinical Engineer",346000
"Human Resources Generalist",345891
"Certified Registered Nurse Anesthetist ",345000
"Engineering Lead",341000
"Bunited Statesiness Intelligence Manager",340000
"Import Trade Compliance",340000
"Vp Finance",340000
"Supply Strategy",340000
"Associate Vp",340000
"Policy Analyst",339696
"Avp, Unit Manager, Communications",338000
"Content Strategist",338000
"Technical Product Manager",336000
"Email Marketing Manager",335000
"Deputy Executive Director",330000
"Partnership Sales",330000
"Sr Manager Ecommerce",330000
"Doctor (Psychiatry Registrar)",329600
"Hr Director",327000
"Ambulatory Care Pharmacist",323620
"Marketing Director",323500
"Academic Advisor",323000
"Research Fellow",323000
"Director Of Data Science",320000
"Director Of Cunited Statestomer Success Management ",320000
"Lead Systems Engineer",320000
"Director, Bunited Statesiness Strategy",320000
"Transactional Attorney",320000
"Content Marketing Manager",320000
"Communication Specialist",320000
"Corporate Strategy",318000
"Senior Cunited Statestomer Success Manager",318000
"Senior Data Manager",317500
"Legal Counsel",316000
"Medical Physicist",313000
"Information Architect",312000
"Storyboard Director",312000
"Sales Trainer",312000
"Senior Site Reliability Engineer",310000
"Product Content Lead",310000
"Assistant Professor ",310000
"Manager, Sales Operations",310000
"Senior Hr Bunited Statesiness Partner",309750
"Assistant Director",309000
"Registered Nurse",308000
"Director, Initiative Management",307600
"Senior Technical Program Manager Lead",306000
"Urban Specialist",305446
"Site Reliability Engineer",304000
"Client Service Representative",301900
"Software Architect ",300000
"Director Of Research & Strategy",300000
"Senior Design Researcher ",300000
"Managing Consultant",300000
"System Director Of Quality",300000
"Strategy Director",300000
"Senior Sem Analyst",300000
Supervisor,300000
"Associate Technical Account Manager",300000
"Ux/Product Designer",300000
"Head Of Marketing",300000
"Cunited Statestomer Experience Director ",300000
"Director Of Legal And Compliance",299000
"Bunited Statesiness Operations Manager",297202
"Attorney Advisor",297000
"Senior Quality Engineer",297000
"Senior Manager, Workplace Programs",297000
"Design Researcher",297000
Coordinator,296780
"Director Communications, Marketing, And Pr",296000
"Product Researcher",296000
"Clinical Trial Manager",296000
"Talent Development Manager",296000
"Director Of Corporate Development",295998
"Security Engineer",295000
"Software Engineer 3",294000
"Sr Data Analyst",292100
"Gis Programmer Analyst",292000
"Supervisory Biomedical Engineer",290256
"Sales Program Manager",290000
"Associate Director ",290000
"Director Of Product Development",289942
"Software Development Manager",288000
"Scientific Affairs Manager",287600
"Sales Manager",286000
"Senior Acquisitions Support Consultant",285600
"Research Scientist/Engineer Iii",284000
"Bunited Statesiness Design Consultant",284000
"Ux/Ui Designer",283100
"Sr Portfolio Analyst",282000
"Communications Coordinator",281111
"Real Estate Agent",280000
"Solutions Engineer",280000
"Psychiatric Nurse Practitioner",280000
Coo,280000
"Data Ops Lead",280000
"Machine Learning Model Developer",280000
"Ux Research Manager",280000
"Commercial Portfolio Manager",280000
"Product Marketing Manager ",280000
"Senior Manager Quality Assurance",280000
"Manager Of Strategic Partnerships",280000
"Senior Content Strategist",279400
"Market Intelligence Strategy Leader",279000
"Property Manager ",278800
"Finance Director ",278000
"Professor ",276000
"Director Of Data & Information Systems",276000
"Devops Manager",276000
"Senior Manager, Impact",275000
"It Security Manager",274000
"Bunited Statesiness Design Consultant ",274000
"Marketing Specialist",273920
"Life Sciences",273600
"Deputy County Counsel",272000
"Sr. Marketing Cloud Consultant",272000
"Executive Recruiter",272000
"Clinical Operations Associate Director",271520
"Senior Manager Of Strategy",271500
"Project Engineer",271400
"Data Privacy & Compliance Professional",270600
"Backend Engineer",270000
"Director Of B2B Marketing",270000
"Bunited Statesinesses Analyst Manager ",270000
"Head Of People",270000
"Program Manager Ii",270000
"Qa Engineer",269790
"Senior Technical Program Manager",268000
"Operations Analyst",267940
"Ai Consultant",267000
"Principal Bunited Statesiness Consultant",266000
"Education Program Manager",265960
"Brand Manager ",265000
"Director, Operational Performance ",264000
"Contracts Specialist",264000
"Director, Data Management",264000
"Director, R&T",264000
"Data Practice Lead",262000
"Staff Technologist",262000
"Crm Manager",260000
"Technical Operations Manager ",260000
"It Manager",260000
"Senior Executive Assistant",260000
"Senior Financial Advisor",260000
"Director Of Process Improvement ",260000
"Supply Chain Manager ",260000
"Shopper Marketing Manager ",260000
"Consultant (In-Hounited Statese, Not Freelance)",260000
"Senior Strategic Bunited Statesiness Developer",258500
"Solutions Architect ",258000
"Critical Facilities Supervisor ",258000
"Associate Director Of Marketing",258000
"Marketing Coordinator ",256760
