Age Range,Industry, Job title,Annual Salary,Additional Monetary Compensation,Currency,Country,State,City,Years of Professional Experience Overall,Years of Professional Experience in Field,Highest Level of Education Completed,Gender
25-34,Utilities & Telecommunications,Operations Manager,102000000,0,United StatesD,Colombia,Unknown,Bogota,8 - 10 years,1 year or less,Some college,Man
35-44,Computing Or Tech,Project Manager,8100000,0,JPY,Japan,Unknown,Tokyo,8 - 10 years,5 - 7 years,Master's degree,Woman
25-34,Education (Higher Education),Lecturer,6000000,0,JPY,Japan,Unknown,Hiroshima,8 - 10 years,5 - 7 years,Master's degree,Woman
25-34,Recruitment Or Hr,Hr,5600000,0,JPY,Japan,Unknown,Tokyo,8 - 10 years,2 - 4 years,College degree,Woman
25-34,Entertainment,Japanese To English Translator,3600000,0,JPY,United States,Alabama,Huntsville,8 - 10 years,2 - 4 years,College degree,Non-binary
25-34,Computing Or Tech,Lead,2600000,0,United StatesD,United States,Florida,Newyork,8 - 10 years,2 - 4 years,Unknown,Man
25-34,Computing Or Tech,Principal Software Engineer,1650000,25000,United StatesD,United States,MassachUnited Statesetts,Boston,8 - 10 years,5 - 7 years,Master's degree,Man
25-34,Computing Or Tech,Project Manager,920000,0,United StatesD,United States,Wisconsin,Madison,8 - 10 years,2 - 4 years,College degree,Man
25-34,Interpretation,Interpreter,905000,10000,HKD,China,Unknown,Shenzhen/Hong Kong,8 - 10 years,5 - 7 years,Master's degree,Woman
35-44,Media & Digital,English Editor,732000,70000,Other,Taiwan,Unknown,Taipei,8 - 10 years,5 - 7 years,College degree,Woman
25-34,Environment,Environmental Consultant,730000,0,Other,Australia,Unknown,"Brisbane, Queensland",8 - 10 years,2 - 4 years,College degree,Woman
25-34,Sales,Realtor,600000,0,CAD,Canada,Unknown,Toronto,8 - 10 years,2 - 4 years,College degree,Man
35-44,Entertainment,Marketing Automation Manager ,576000,0,SEK,Sweden,Unknown,Stockholm,8 - 10 years,5 - 7 years,Master's degree,Man
25-34,Computing Or Tech,Software Engineer,567600,84848,SEK,Sweden,Unknown,Stockholm,8 - 10 years,5 - 7 years,Master's degree,Man
35-44,Education (Higher Education),Assistant Professor,550000,0,Other,Denmark,Unknown,Copenhagen,8 - 10 years,5 - 7 years,PhD,Man
25-34,Law,Consultant,550000,36000,Other,denmark,Unknown,copenhagen,8 - 10 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman
25-34,Media & Digital,Seo Specialist ,543000,20000,ZAR,South Africa,Unknown,Cape Town,8 - 10 years,2 - 4 years,College degree,Woman
35-44,Agriculture Or Forestry,Turnip Farmer,500000,0,United StatesD,United States,Hawaii,Prefer not to say,8 - 10 years,2 - 4 years,PhD,Non-binary
25-34,Computing Or Tech,Production Manager/Project Manager,438000,0,SEK,Sweden,Unknown,Gothenburg,8 - 10 years,5 - 7 years,College degree,Woman
25-34,Engineering Or Manufacturing,Design Engineer ,408000,30000,SEK,Sweden,Unknown,remote ,8 - 10 years,2 - 4 years,Master's degree,Woman
35-44,Computing Or Tech,Ml/Ai Scientist,380000,0,United StatesD,United States,California,Bay Area,8 - 10 years,2 - 4 years,PhD,Woman
35-44,Health Care,Associate Chairperson,380000,9000,United StatesD,United States,New Jersey,New York City,8 - 10 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman
35-44,Health Care,Orthopedic Surgeon,378000,0,United StatesD,United States,California,Los Angeles,8 - 10 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman
25-34,Computing Or Tech,Sr. Operations Manager,360000,0,United StatesD,United States,New York,New York,8 - 10 years,5 - 7 years,College degree,Woman
25-34,Retail,Deliworker ,350000,15000,SEK,Sweden,Unknown,Kiruna,8 - 10 years,2 - 4 years,High School,Woman
25-34,Education (Higher Education),Phd Candidate,346800,0,SEK,Sweden,Unknown,Stockholm,8 - 10 years,5 - 7 years,Master's degree,Woman
25-34,Computing Or Tech,Lead Analyst ,340000,0,United StatesD,United States,California,San Francisco ,8 - 10 years,5 - 7 years,Master's degree,Woman
35-44,Law,Senior Associate (Lawyer),340000,100000,United StatesD,United States,Texas,AUnited Statestin,8 - 10 years,5 - 7 years,"Professional degree (MD, JD, etc.)",Woman
25-34,Law,Attorney,305000,80000,United StatesD,United States,California,Los Angeles,8 - 10 years,5 - 7 years,"Professional degree (MD, JD, etc.)",Woman
25-34,Law,Associate,305000,150000,United StatesD,United States,New York,New York,8 - 10 years,5 - 7 years,"Professional degree (MD, JD, etc.)",Woman
25-34,Computing Or Tech,Vp Of Strategy,285000,0,United StatesD,United States,New York,New York,8 - 10 years,5 - 7 years,Master's degree,Woman
25-34,Law,Associate Attorney,280000,0,United StatesD,United States,Illinois,Chicago,8 - 10 years,5 - 7 years,"Professional degree (MD, JD, etc.)",Woman
25-34,Law,Associate,280000,52000,United StatesD,United States,New York,New York,8 - 10 years,5 - 7 years,"Professional degree (MD, JD, etc.)",Woman
35-44,Law,Attorney,275000,20000,United StatesD,United States,California,Los Angeles,8 - 10 years,5 - 7 years,"Professional degree (MD, JD, etc.)",Woman
25-34,Computing Or Tech,Software Engineer,265000,0,United StatesD,United States,Texas,AUnited Statestin,8 - 10 years,5 - 7 years,College degree,Woman
25-34,"Accounting, Banking & Finance",Vice President,250000,330000,United StatesD,United States,New York,New York,8 - 10 years,5 - 7 years,College degree,Woman
35-44,Law,Attorney ,250000,0,United StatesD,United States,California,Monterey,8 - 10 years,5 - 7 years,"Professional degree (MD, JD, etc.)",Woman
35-44,Education (Primary/Secondary),Esl Teacher,250000,0,Other,China,Unknown,Haikou Hainan,8 - 10 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman
